_id,date,center_name,attendance_count
40750240,2025-03-07,West Penn Community Center,46
40750241,2025-03-07,Warrington Community Center,88
40750242,2025-03-07,Arlington Community Center,40
40750243,2025-03-07,Brookline Community Center,44
40750244,2025-03-07,Magee Community Center,69
40750245,2025-03-07,Ormsby Community Center,10
40750246,2025-03-07,Paulson Community Center,22
40750247,2025-03-06,Warrington Community Center,53
40750248,2025-03-06,West Penn Community Center,119
40750249,2025-03-06,Arlington Community Center,14
40750250,2025-03-06,Brookline Community Center,49
40750251,2025-03-06,Magee Community Center,43
40750252,2025-03-06,Jefferson Community Center,59
40750253,2025-03-06,Paulson Community Center,15
40750254,2025-03-06,Ormsby Community Center,19
40750255,2025-03-05,West Penn Community Center,22
40750256,2025-03-05,Warrington Community Center,106
40750257,2025-03-05,Arlington Community Center,35
40750258,2025-03-05,Brookline Community Center,36
40750259,2025-03-05,Jefferson Community Center,66
40750260,2025-03-05,Magee Community Center,30
40750261,2025-03-05,Ormsby Community Center,23
40750262,2025-03-05,Paulson Community Center,15
40750263,2025-03-04,Warrington Community Center,91
40750264,2025-03-04,West Penn Community Center,59
40750265,2025-03-04,Arlington Community Center,19
40750266,2025-03-04,Ammon Community Center,2
40750267,2025-03-04,Brookline Community Center,63
40750268,2025-03-04,Magee Community Center,44
40750269,2025-03-04,Jefferson Community Center,74
40750270,2025-03-04,Paulson Community Center,25
40750271,2025-03-04,Ormsby Community Center,9
40750272,2025-03-03,West Penn Community Center,65
40750273,2025-03-03,Warrington Community Center,69
40750274,2025-03-03,Ammon Community Center,16
40750275,2025-03-03,Arlington Community Center,43
40750276,2025-03-03,Brookline Community Center,55
40750277,2025-03-03,Jefferson Community Center,44
40750278,2025-03-03,Magee Community Center,42
40750279,2025-03-03,Ormsby Community Center,17
40750280,2025-03-03,Paulson Community Center,21
40750281,2025-03-01,Warrington Community Center,19
40750282,2025-03-01,West Penn Community Center,15
40750283,2025-03-01,Arlington Community Center,7
40750284,2025-03-01,Magee Community Center,3
40750285,2025-03-01,Paulson Community Center,3
40750286,2025-03-01,Ormsby Community Center,10
40750287,2025-02-28,West Penn Community Center,49
40750288,2025-02-28,Warrington Community Center,25
40750289,2025-02-28,Arlington Community Center,45
40750290,2025-02-28,Brookline Community Center,27
40750291,2025-02-28,Magee Community Center,50
40750292,2025-02-28,Jefferson Community Center,36
40750293,2025-02-28,Ormsby Community Center,22
40750294,2025-02-28,Paulson Community Center,14
40750295,2025-02-27,Warrington Community Center,70
40750296,2025-02-27,West Penn Community Center,161
40750297,2025-02-27,Arlington Community Center,38
40750298,2025-02-27,Brookline Community Center,53
40750299,2025-02-27,Jefferson Community Center,40
40750300,2025-02-27,Magee Community Center,51
40750301,2025-02-27,Paulson Community Center,18
40750302,2025-02-27,Ormsby Community Center,14
40750303,2025-02-26,West Penn Community Center,148
40750304,2025-02-26,Warrington Community Center,57
40750305,2025-02-26,Arlington Community Center,41
40750306,2025-02-26,Brookline Community Center,39
40750307,2025-02-26,Magee Community Center,30
40750308,2025-02-26,Jefferson Community Center,62
40750309,2025-02-26,Ormsby Community Center,7
40750310,2025-02-26,Paulson Community Center,11
40750311,2025-02-25,Warrington Community Center,90
40750312,2025-02-25,West Penn Community Center,62
40750313,2025-02-25,Arlington Community Center,58
40750314,2025-02-25,Brookline Community Center,44
40750315,2025-02-25,Jefferson Community Center,58
40750316,2025-02-25,Magee Community Center,27
40750317,2025-02-25,Paulson Community Center,19
40750318,2025-02-25,Ormsby Community Center,10
40750319,2025-02-24,West Penn Community Center,50
40750320,2025-02-24,Warrington Community Center,62
40750321,2025-02-24,Arlington Community Center,34
40750322,2025-02-24,Brookline Community Center,50
40750323,2025-02-24,Magee Community Center,44
40750324,2025-02-24,Jefferson Community Center,65
40750325,2025-02-24,Paulson Community Center,24
40750326,2025-02-23,Warrington Community Center,3
40750327,2025-02-22,Warrington Community Center,17
40750328,2025-02-22,West Penn Community Center,59
40750329,2025-02-22,Brookline Community Center,12
40750330,2025-02-22,Magee Community Center,4
40750331,2025-02-22,Paulson Community Center,3
40750332,2025-02-21,West Penn Community Center,6
40750333,2025-02-21,Warrington Community Center,67
40750334,2025-02-21,Arlington Community Center,20
40750335,2025-02-21,Brookline Community Center,31
40750336,2025-02-21,Magee Community Center,57
40750337,2025-02-21,Paulson Community Center,15
40750338,2025-02-20,Warrington Community Center,53
40750339,2025-02-20,West Penn Community Center,63
40750340,2025-02-20,Arlington Community Center,14
40750341,2025-02-20,Brookline Community Center,29
40750342,2025-02-20,Magee Community Center,49
40750343,2025-02-20,Jefferson Community Center,60
40750344,2025-02-20,Paulson Community Center,23
40750345,2025-02-20,Ormsby Community Center,9
40750346,2025-02-19,West Penn Community Center,9
40750347,2025-02-19,Warrington Community Center,69
40750348,2025-02-19,Arlington Community Center,47
40750349,2025-02-19,Brookline Community Center,41
40750350,2025-02-19,Jefferson Community Center,65
40750351,2025-02-19,Magee Community Center,23
40750352,2025-02-19,Ormsby Community Center,8
40750353,2025-02-19,Paulson Community Center,20
40750354,2025-02-18,Warrington Community Center,68
40750355,2025-02-18,West Penn Community Center,37
40750356,2025-02-18,Arlington Community Center,30
40750357,2025-02-18,Brookline Community Center,48
40750358,2025-02-18,Magee Community Center,46
40750359,2025-02-18,Jefferson Community Center,53
40750360,2025-02-18,Paulson Community Center,18
40750361,2025-02-18,Ormsby Community Center,11
40750362,2025-02-17,Warrington Community Center,46
40750363,2025-02-17,Arlington Community Center,28
40750364,2025-02-17,Brookline Community Center,25
40750365,2025-02-17,Magee Community Center,16
40750366,2025-02-17,Ormsby Community Center,8
40750367,2025-02-17,Paulson Community Center,11
40750368,2025-02-16,Warrington Community Center,4
40750369,2025-02-15,Warrington Community Center,2
40750370,2025-02-15,West Penn Community Center,156
40750371,2025-02-15,Brookline Community Center,6
40750372,2025-02-15,Magee Community Center,3
40750373,2025-02-15,Paulson Community Center,5
40750374,2025-02-15,Ormsby Community Center,8
40750375,2025-02-14,West Penn Community Center,44
40750376,2025-02-14,Warrington Community Center,19
40750377,2025-02-14,Arlington Community Center,21
40750378,2025-02-14,Brookline Community Center,25
40750379,2025-02-14,Magee Community Center,39
40750380,2025-02-14,Jefferson Community Center,25
40750381,2025-02-14,Ormsby Community Center,6
40750382,2025-02-14,Paulson Community Center,27
40750383,2025-02-13,Warrington Community Center,50
40750384,2025-02-13,Arlington Community Center,44
40750385,2025-02-13,Brookline Community Center,37
40750386,2025-02-13,Jefferson Community Center,50
40750387,2025-02-13,Magee Community Center,27
40750388,2025-02-13,Paulson Community Center,15
40750389,2025-02-13,Ormsby Community Center,15
40750390,2025-02-12,Warrington Community Center,59
40750391,2025-02-12,Arlington Community Center,36
40750392,2025-02-12,Brookline Community Center,36
40750393,2025-02-12,Magee Community Center,34
40750394,2025-02-12,Jefferson Community Center,60
40750395,2025-02-12,Ormsby Community Center,12
40750396,2025-02-12,Paulson Community Center,21
40750397,2025-02-11,Warrington Community Center,40
40750398,2025-02-11,Arlington Community Center,70
40750399,2025-02-11,Brookline Community Center,41
40750400,2025-02-11,Jefferson Community Center,52
40750401,2025-02-11,Magee Community Center,27
40750402,2025-02-11,Paulson Community Center,15
40750403,2025-02-11,Ormsby Community Center,20
40750404,2025-02-10,Warrington Community Center,47
40750405,2025-02-10,Arlington Community Center,31
40750406,2025-02-10,Brookline Community Center,36
40750407,2025-02-10,Magee Community Center,40
40750408,2025-02-10,Jefferson Community Center,26
40750409,2025-02-10,Ormsby Community Center,12
40750410,2025-02-10,Paulson Community Center,19
40750411,2025-02-08,Warrington Community Center,9
40750412,2025-02-08,West Penn Community Center,85
40750413,2025-02-08,Arlington Community Center,6
40750414,2025-02-08,Brookline Community Center,9
40750415,2025-02-08,Magee Community Center,7
40750416,2025-02-08,Paulson Community Center,4
40750417,2025-02-08,Ormsby Community Center,8
40750418,2025-02-07,West Penn Community Center,56
40750419,2025-02-07,Warrington Community Center,40
40750420,2025-02-07,Arlington Community Center,56
40750421,2025-02-07,Brookline Community Center,37
40750422,2025-02-07,Magee Community Center,57
40750423,2025-02-07,Ormsby Community Center,10
40750424,2025-02-07,Paulson Community Center,21
40750425,2025-02-06,Warrington Community Center,46
40750426,2025-02-06,West Penn Community Center,96
40750427,2025-02-06,Arlington Community Center,2
40750428,2025-02-06,Brookline Community Center,36
40750429,2025-02-06,Magee Community Center,45
40750430,2025-02-06,Jefferson Community Center,50
40750431,2025-02-06,Paulson Community Center,17
40750432,2025-02-06,Ormsby Community Center,13
40750433,2025-02-05,West Penn Community Center,64
40750434,2025-02-05,Warrington Community Center,45
40750435,2025-02-05,Arlington Community Center,42
40750436,2025-02-05,Brookline Community Center,30
40750437,2025-02-05,Jefferson Community Center,51
40750438,2025-02-05,Magee Community Center,25
40750439,2025-02-05,Ormsby Community Center,13
40750440,2025-02-05,Paulson Community Center,1
40750441,2025-02-04,Warrington Community Center,51
40750442,2025-02-04,West Penn Community Center,67
40750443,2025-02-04,Arlington Community Center,31
40750444,2025-02-04,Brookline Community Center,44
40750445,2025-02-04,Magee Community Center,43
40750446,2025-02-04,Jefferson Community Center,61
40750447,2025-02-04,Paulson Community Center,24
40750448,2025-02-04,Ormsby Community Center,9
40750449,2025-02-03,West Penn Community Center,77
40750450,2025-02-03,Warrington Community Center,60
40750451,2025-02-03,Arlington Community Center,21
40750452,2025-02-03,Brookline Community Center,46
40750453,2025-02-03,Jefferson Community Center,37
40750454,2025-02-03,Magee Community Center,30
40750455,2025-02-03,Ormsby Community Center,11
40750456,2025-02-03,Paulson Community Center,20
40750457,2025-02-02,Warrington Community Center,4
40750458,2025-02-01,Warrington Community Center,9
40750459,2025-02-01,West Penn Community Center,32
40750460,2025-02-01,Brookline Community Center,10
40750461,2025-02-01,Magee Community Center,8
40750462,2025-02-01,Paulson Community Center,2
40750463,2025-02-01,Ormsby Community Center,12
40750464,2025-01-31,West Penn Community Center,64
40750465,2025-01-31,Warrington Community Center,31
40750466,2025-01-31,Arlington Community Center,34
40750467,2025-01-31,Brookline Community Center,32
40750468,2025-01-31,Magee Community Center,28
40750469,2025-01-31,Jefferson Community Center,47
40750470,2025-01-31,Ormsby Community Center,7
40750471,2025-01-31,Paulson Community Center,10
40750472,2025-01-30,Warrington Community Center,32
40750473,2025-01-30,West Penn Community Center,85
40750474,2025-01-30,Arlington Community Center,58
40750475,2025-01-30,Brookline Community Center,29
40750476,2025-01-30,Jefferson Community Center,58
40750477,2025-01-30,Magee Community Center,60
40750478,2025-01-30,Paulson Community Center,21
40750479,2025-01-30,Ormsby Community Center,6
40750480,2025-01-29,West Penn Community Center,62
40750481,2025-01-29,Warrington Community Center,58
40750482,2025-01-29,Arlington Community Center,45
40750483,2025-01-29,Brookline Community Center,32
40750484,2025-01-29,Magee Community Center,28
40750485,2025-01-29,Jefferson Community Center,64
40750486,2025-01-29,Ormsby Community Center,14
40750487,2025-01-29,Paulson Community Center,11
40750488,2025-01-28,Warrington Community Center,49
40750489,2025-01-28,West Penn Community Center,63
40750490,2025-01-28,Arlington Community Center,37
40750491,2025-01-28,Brookline Community Center,36
40750492,2025-01-28,Jefferson Community Center,77
40750493,2025-01-28,Magee Community Center,49
40750494,2025-01-28,Paulson Community Center,22
40750495,2025-01-28,Ormsby Community Center,5
40750496,2025-01-27,West Penn Community Center,73
40750497,2025-01-27,Warrington Community Center,36
40750498,2025-01-27,Arlington Community Center,20
40750499,2025-01-27,Brookline Community Center,45
40750500,2025-01-27,Magee Community Center,18
40750501,2025-01-27,Jefferson Community Center,59
40750502,2025-01-27,Ormsby Community Center,21
40750503,2025-01-27,Paulson Community Center,23
40750504,2025-01-26,Warrington Community Center,5
40750505,2025-01-25,Warrington Community Center,16
40750506,2025-01-25,West Penn Community Center,194
40750507,2025-01-25,Brookline Community Center,6
40750508,2025-01-25,Magee Community Center,7
40750509,2025-01-25,Paulson Community Center,2
40750510,2025-01-25,Ormsby Community Center,10
40750511,2025-01-24,West Penn Community Center,50
40750512,2025-01-24,Warrington Community Center,18
40750513,2025-01-24,Arlington Community Center,9
40750514,2025-01-24,Ammon Community Center,4
40750515,2025-01-24,Brookline Community Center,28
40750516,2025-01-24,Magee Community Center,38
40750517,2025-01-24,Ormsby Community Center,16
40750518,2025-01-24,Paulson Community Center,20
40750519,2025-01-23,West Penn Community Center,119
40750520,2025-01-23,Ammon Community Center,1
40750521,2025-01-23,Arlington Community Center,6
40750522,2025-01-23,Brookline Community Center,38
40750523,2025-01-23,Magee Community Center,44
40750524,2025-01-23,Paulson Community Center,11
40750525,2025-01-23,Ormsby Community Center,11
40750526,2025-01-22,West Penn Community Center,50
40750527,2025-01-22,Arlington Community Center,9
40750528,2025-01-22,Ammon Community Center,1
40750529,2025-01-22,Brookline Community Center,36
40750530,2025-01-22,Magee Community Center,1
40750531,2025-01-22,Ormsby Community Center,16
40750532,2025-01-22,Paulson Community Center,2
40750533,2025-01-21,West Penn Community Center,45
40750534,2025-01-21,Warrington Community Center,14
40750535,2025-01-21,Ammon Community Center,1
40750536,2025-01-21,Arlington Community Center,13
40750537,2025-01-21,Brookline Community Center,30
40750538,2025-01-21,Paulson Community Center,10
40750539,2025-01-21,Ormsby Community Center,14
40750540,2025-01-18,West Penn Community Center,130
40750541,2025-01-18,Magee Community Center,7
40750542,2025-01-17,West Penn Community Center,58
40750543,2025-01-17,Warrington Community Center,39
40750544,2025-01-17,Arlington Community Center,16
40750545,2025-01-17,Ammon Community Center,3
40750546,2025-01-17,Brookline Community Center,30
40750547,2025-01-17,Magee Community Center,52
40750548,2025-01-17,Jefferson Community Center,61
40750549,2025-01-17,Ormsby Community Center,8
40750550,2025-01-17,Paulson Community Center,22
40750551,2025-01-16,Warrington Community Center,46
40750552,2025-01-16,West Penn Community Center,20
40750553,2025-01-16,Ammon Community Center,1
40750554,2025-01-16,Arlington Community Center,21
40750555,2025-01-16,Brookline Community Center,41
40750556,2025-01-16,Jefferson Community Center,28
40750557,2025-01-16,Magee Community Center,36
40750558,2025-01-16,Paulson Community Center,7
40750559,2025-01-16,Ormsby Community Center,12
40750560,2025-01-15,West Penn Community Center,212
40750561,2025-01-15,Warrington Community Center,61
40750562,2025-01-15,Arlington Community Center,29
40750563,2025-01-15,Brookline Community Center,77
40750564,2025-01-15,Magee Community Center,15
40750565,2025-01-15,Jefferson Community Center,58
40750566,2025-01-15,Ormsby Community Center,15
40750567,2025-01-15,Paulson Community Center,12
40750568,2025-01-14,Warrington Community Center,38
40750569,2025-01-14,West Penn Community Center,57
40750570,2025-01-14,Arlington Community Center,1
40750571,2025-01-14,Brookline Community Center,42
40750572,2025-01-14,Jefferson Community Center,30
40750573,2025-01-14,Magee Community Center,21
40750574,2025-01-14,Ormsby Community Center,10
40750575,2025-01-13,West Penn Community Center,100
40750576,2025-01-13,Warrington Community Center,44
40750577,2025-01-13,Arlington Community Center,35
40750578,2025-01-13,Ammon Community Center,4
40750579,2025-01-13,Brookline Community Center,47
40750580,2025-01-13,Magee Community Center,26
40750581,2025-01-13,Jefferson Community Center,65
40750582,2025-01-13,Ormsby Community Center,17
40750583,2025-01-13,Paulson Community Center,25
40750584,2025-01-11,Warrington Community Center,3
40750585,2025-01-11,West Penn Community Center,154
40750586,2025-01-11,Magee Community Center,2
40750587,2025-01-11,Paulson Community Center,1
40750588,2025-01-11,Ormsby Community Center,8
40750589,2025-01-10,West Penn Community Center,90
40750590,2025-01-10,Warrington Community Center,38
40750591,2025-01-10,Ammon Community Center,2
40750592,2025-01-10,Arlington Community Center,18
40750593,2025-01-10,Brookline Community Center,36
40750594,2025-01-10,Magee Community Center,52
40750595,2025-01-10,Jefferson Community Center,51
40750596,2025-01-10,Ormsby Community Center,10
40750597,2025-01-10,Paulson Community Center,26
40750598,2025-01-09,Warrington Community Center,46
40750599,2025-01-09,West Penn Community Center,160
40750600,2025-01-09,Arlington Community Center,77
40750601,2025-01-09,Brookline Community Center,52
40750602,2025-01-09,Magee Community Center,57
40750603,2025-01-09,Paulson Community Center,33
40750604,2025-01-09,Ormsby Community Center,11
40750605,2025-01-08,West Penn Community Center,365
40750606,2025-01-08,Warrington Community Center,58
40750607,2025-01-08,Brookline Community Center,38
40750608,2025-01-08,Magee Community Center,26
40750609,2025-01-08,Jefferson Community Center,48
40750610,2025-01-08,Ormsby Community Center,21
40750611,2025-01-08,Paulson Community Center,12
40750612,2025-01-07,Warrington Community Center,41
40750613,2025-01-07,West Penn Community Center,209
40750614,2025-01-07,Arlington Community Center,11
40750615,2025-01-07,Brookline Community Center,56
40750616,2025-01-07,Jefferson Community Center,32
40750617,2025-01-07,Magee Community Center,22
40750618,2025-01-07,Paulson Community Center,17
40750619,2025-01-07,Ormsby Community Center,12
40750620,2025-01-06,West Penn Community Center,7
40750621,2025-01-06,Warrington Community Center,2
40750622,2025-01-04,Warrington Community Center,2
40750623,2025-01-04,West Penn Community Center,40
40750624,2025-01-04,Brookline Community Center,13
40750625,2025-01-04,Magee Community Center,19
40750626,2025-01-04,Ormsby Community Center,2
40750627,2025-01-03,West Penn Community Center,60
40750628,2025-01-03,Warrington Community Center,22
40750629,2025-01-03,Arlington Community Center,13
40750630,2025-01-03,Brookline Community Center,28
40750631,2025-01-03,Magee Community Center,62
40750632,2025-01-03,Jefferson Community Center,25
40750633,2025-01-03,Ormsby Community Center,4
40750634,2025-01-03,Paulson Community Center,18
40750635,2025-01-02,Warrington Community Center,38
40750636,2025-01-02,West Penn Community Center,71
40750637,2025-01-02,Arlington Community Center,2
40750638,2025-01-02,Brookline Community Center,48
40750639,2025-01-02,Jefferson Community Center,26
40750640,2025-01-02,Magee Community Center,23
40750641,2025-01-02,Paulson Community Center,18
40750642,2025-01-02,Ormsby Community Center,20
40750643,2024-12-31,West Penn Community Center,9
40750644,2024-12-31,Warrington Community Center,8
40750645,2024-12-31,Brookline Community Center,24
40750646,2024-12-31,Magee Community Center,7
40750647,2024-12-31,Ormsby Community Center,1
40750648,2024-12-31,Paulson Community Center,7
40750649,2024-12-30,Warrington Community Center,57
40750650,2024-12-30,West Penn Community Center,27
40750651,2024-12-30,Arlington Community Center,9
40750652,2024-12-30,Brookline Community Center,27
40750653,2024-12-30,Magee Community Center,10
40750654,2024-12-30,Paulson Community Center,10
40750655,2024-12-30,Ormsby Community Center,9
40750656,2024-12-27,West Penn Community Center,14
40750657,2024-12-27,Warrington Community Center,11
40750658,2024-12-27,Arlington Community Center,9
40750659,2024-12-27,Brookline Community Center,44
40750660,2024-12-27,Magee Community Center,47
40750661,2024-12-27,Ormsby Community Center,9
40750662,2024-12-27,Paulson Community Center,3
40750663,2024-12-26,Warrington Community Center,11
40750664,2024-12-26,West Penn Community Center,26
40750665,2024-12-26,Brookline Community Center,35
40750666,2024-12-26,Magee Community Center,7
40750667,2024-12-26,Paulson Community Center,4
40750668,2024-12-26,Ormsby Community Center,9
40750669,2024-12-24,West Penn Community Center,25
40750670,2024-12-24,Warrington Community Center,20
40750671,2024-12-24,Brookline Community Center,9
40750672,2024-12-24,Magee Community Center,9
40750673,2024-12-24,Paulson Community Center,1
40750674,2024-12-23,Warrington Community Center,13
40750675,2024-12-23,West Penn Community Center,59
40750676,2024-12-23,Arlington Community Center,5
40750677,2024-12-23,Brookline Community Center,26
40750678,2024-12-23,Magee Community Center,13
40750679,2024-12-23,Paulson Community Center,10
40750680,2024-12-23,Ormsby Community Center,9
40750681,2024-12-21,West Penn Community Center,19
40750682,2024-12-21,Warrington Community Center,7
40750683,2024-12-21,Brookline Community Center,11
40750684,2024-12-21,Magee Community Center,4
40750685,2024-12-21,Ormsby Community Center,6
40750686,2024-12-20,Warrington Community Center,29
40750687,2024-12-20,West Penn Community Center,80
40750688,2024-12-20,Ammon Community Center,1
40750689,2024-12-20,Brookline Community Center,22
40750690,2024-12-20,Magee Community Center,43
40750691,2024-12-20,Jefferson Community Center,13
40750692,2024-12-20,Ormsby Community Center,8
40750693,2024-12-20,Paulson Community Center,25
40750694,2024-12-19,West Penn Community Center,168
40750695,2024-12-19,Warrington Community Center,24
40750696,2024-12-19,Ammon Community Center,2
40750697,2024-12-19,Arlington Community Center,12
40750698,2024-12-19,Brookline Community Center,36
40750699,2024-12-19,Jefferson Community Center,24
40750700,2024-12-19,Magee Community Center,20
40750701,2024-12-19,Paulson Community Center,17
40750702,2024-12-19,Ormsby Community Center,6
40750703,2024-12-18,Warrington Community Center,40
40750704,2024-12-18,West Penn Community Center,91
40750705,2024-12-18,Arlington Community Center,50
40750706,2024-12-18,Ammon Community Center,2
40750707,2024-12-18,Brookline Community Center,29
40750708,2024-12-18,Magee Community Center,27
40750709,2024-12-18,Jefferson Community Center,13
40750710,2024-12-18,Ormsby Community Center,7
40750711,2024-12-18,Paulson Community Center,27
40750712,2024-12-17,West Penn Community Center,134
40750713,2024-12-17,Warrington Community Center,37
40750714,2024-12-17,Ammon Community Center,2
40750715,2024-12-17,Arlington Community Center,17
40750716,2024-12-17,Brookline Community Center,31
40750717,2024-12-17,Jefferson Community Center,42
40750718,2024-12-17,Magee Community Center,20
40750719,2024-12-17,Paulson Community Center,18
40750720,2024-12-17,Ormsby Community Center,5
40750721,2024-12-16,Warrington Community Center,48
40750722,2024-12-16,West Penn Community Center,75
40750723,2024-12-16,Arlington Community Center,13
40750724,2024-12-16,Brookline Community Center,38
40750725,2024-12-16,Magee Community Center,27
40750726,2024-12-16,Jefferson Community Center,35
40750727,2024-12-16,Ormsby Community Center,6
40750728,2024-12-16,Paulson Community Center,25
40750729,2024-12-14,West Penn Community Center,176
40750730,2024-12-14,Warrington Community Center,8
40750731,2024-12-14,Brookline Community Center,5
40750732,2024-12-14,Magee Community Center,21
40750733,2024-12-14,Paulson Community Center,2
40750734,2024-12-14,Ormsby Community Center,3
40750735,2024-12-13,Warrington Community Center,31
40750736,2024-12-13,West Penn Community Center,46
40750737,2024-12-13,Arlington Community Center,40
40750738,2024-12-13,Brookline Community Center,34
40750739,2024-12-13,Magee Community Center,47
40750740,2024-12-13,Jefferson Community Center,9
40750741,2024-12-13,Ormsby Community Center,10
40750742,2024-12-13,Paulson Community Center,16
40750743,2024-12-12,West Penn Community Center,136
40750744,2024-12-12,Warrington Community Center,18
40750745,2024-12-12,Arlington Community Center,13
40750746,2024-12-12,Ammon Community Center,1
40750747,2024-12-12,Brookline Community Center,51
40750748,2024-12-12,Jefferson Community Center,34
